gloss,segmented_text
***,"{""-b'ik"", 'oj', 'yaaj', '-iik', ""atz'aam"", ""ech'elxik"", 'luwar', ""k'ichelaaj"", '-iij', 'kuy', 'karneero', ""o'"", 'jin', 'laq', ""ta'-"", 'ri', ""che'w"", 'moo', 'kirneer', ""ki'"", ""tz'eet"", '-er', '-x', ""jii'n"", '-ar', '-in', 'iinwa', ""b'a"", 'e', ""ta'j"", 'qes', 'uuy', 'jaa', ""k'atzaan"", '-al', ""k'is"", 'sipoj', '-tq', 'es', 'jaragaan', '-l', ""k'u"", 'ke', 'ti-', 'ay', 'noo', 'ooj', 'teknolojya', ""kla'"", 'tzaq', 'li', 'tziij', '(e)', 'niri', ""wi'"", 'uu', ""laj'ori"", ""sik'"", 'rechaq', 'kwaand', 'x-', '-aal', 'wux', 're', 'aw-', ""ji'"", '-ix', 'xa', 'w-', 'utzÃ¡', ""wi'l"", 'chik', ""wa'x"", 'na', ""pixab'"", 'naq', 'isaj', ""ri'"", ""-i'"", '-ik', ""b'e"", 'al', 'seis', 'pet', 'kabaal', ""k'ach"", ""kwa'y"", ""Ã©k'il"", 'xaan', 'qas', 'etaam', ""k'im"", '-e', 'chuch', 'ni', 'ra', 'kwin', ""ch'"", ""loq'"", 'kojÃ³', ""ki'-"", 'karo', 'keq', '???', ""wi'n"", 'naj', ""a'"", 't-', 'chaj', 'taant', 'iin', ""ib'"", ""b'aq"", ""k'up"", 'tik', ""mu'"", 'et', ""yu'"", '**', ""kub'i'"", ""junaab'"", ""chi'"", '-kar', 'Kulaax', 'at-', 'r', 'xaq', 'tij', 'aa', 'mis', 'wi', 'chi-', 'la', ""k'iche'laaj"", 'awaj', ""q'uuq'"", 'dyees', 'saq', ""si'"", 'ya', ""-t'oj"", 'iij', 'seguro', 'ijaaj', ""-b'an"", ""b'iti"", 'ti', ""jii'"", ""juruub'"", 'x', 'chuwch', 'jono', 'man', 'wakix', 'aq', ""ka'"", ""ta'"", 'saqwech', 'taat', 'dyoos', 'abansada', 'Ã³jor', ""ta'n"", ""ye'"", 'q-', 'juntiir', 'r-', ""-i'n"", 'lamaas', 'keel', '-il', 'uch', ""tob'iiy"", 'tiq', ""chaq'"", 'oj-', 'm', 'tij-', 'kam', 'xa-', ""wÃ¡lb'"", 'laj', ""wÃ¡'x"", 'xiij', 'beneno', 'mat', 'ch', '-xaq', 'esa', 'neen', 'wich', '(lok)', 'j', 'nen', '-eem', '-un', 'pena', 'bween', ""Ã¡k'el"", ""yuuq'"", 'tuuj', 'a-', 'kon', ""no'"", 'tra', ""-ab'"", ""miq'iin"", 'utiiw', 'juun', 'li-', ""k'aslem"", 'qe', ""b'es"", 'kwand', ""ya'"", 'chi', ""alib'"", ""piiq'"", 'i', '***', 'wiich', 'wa', '-k', ""q'aab'"", ""b'it"", 'chk', '(chik)-', ""k'ex"", 'kan', ""b'ik"", ""i'n"", 'wen', 'qaaj', 'syempre', '(kitz)', 'in', 'lo', ""q'iij"", 'wunaq', '-(ki)', 'ux-', 'chiwch-', 'koom', 'maq', 'sach', ""-a'"", 'pu', 'xim-', 'peer', '-oom', ""-e'"", ""k'ur"", '-aq', 'taw', 'loom', ""-a'n"", '-el', 'chaq', 'oori', ""yuwaab'"", 'w', 'tzi', 'we', 'koj', 'ri-', '-ij', 'aj', 'kumpliir', 'il', ""k'i"", 'antonses', ""kijeb'"", 'lomi', ""yuq'"", ""ch'ej"", ""ri'j"", 'qa-', ""b'iix"", ""ajtzoo'"", 'jilon', 'jun', 'aÃ±o', 'taq', ""b'aatz'"", 'chiqa', ""ja'"", 'wat', ""q'ax"", 'chep', ""ne'"", 'maam', 'ki', 'byeen', 'kweent', ""-ch'ol"", 'tons', 'entoons', 'ójor', 'ichooch', 'chap', ""k'isik'"", '-án', 'maas', 'por', '-w', ""b'an"", '-i', 'puro', 'awaas', ""k'am"", 'pensar', 'xiq', 'pwaq', 'in-', ""Ã¡lib'"", 'woron', 'a', 'ma', '-sáj', ""b'o'j"", 'Ã¡nim', 'j-', ""xe'"", ""yo'l"", 'mul', 'chuuch', '-j', 'porke', 'estuuw', 'aj-', '-ch'}"
-'.,"{'cholaj', 'kirtyaan', 'x-', 'maq', 'per', ""ta'"", 'j-', '-l', 'en', 'maa'}"
-***,"{'kirtyaan', ""loq'"", 'luwar', 'pet', 'yaj', ""ik'il"", 'q-', 'r-', ""-i'n"", 'taq', ""'an"", 'li', '-***', 'ri', '-oom', ""ch'i'r"", ""-i'"", 'man', 'entoons', 'taat'}"
-.?,"{'li', '-j', 'peer', 'ma', ""ta'"", 'chola', 'j-', '-l', ""ri'"", 'noo'}"
-?,"{'t-', 'kumatz', 'chaq', 'il', 'x-', 'eel', 'i', 'iin', '-laaj', 'nim', 'ch-', 'ij', 'chi', '-ch', 'ke', 'jun', 'r-', 'w-'}"
-?.,"{'-el', 'x-', 'le', 'chaq', 'per', 'wiich', 'mjor', 're', 'lajori', ""ye'"", 'pam', 'chaak', 'i-', 'r-', ""petb'aa"", 'noj', 'm-', '-aaj', 'xílij', '-xil', 'Ã\x83Â¡nim', '-eej', 'qas', 'Ã\x83Â¡nm', 'xaq', ""ib'"", 'j-', ""oq'"", 'taaw', ""ri'"", 'tilmiit', ""k'is"", 'tuk', 'sut'}"
-PP,"{'qa-', 't-', 'neen', '-al', 'entoons', 'xaq', 'kiitz', ""wi'l"", ""q'as"", 'loke', 'yol', 'jun', 'in-'}"
-suf.,"{'x-', 'tra', 'uch', ""lek'l"", ""-ta'j"", '-uul', ""kub'"", 'kan'}"
.PERS,"{'-j', 'x-', 'chaq', '-sÃ¡j', 'ju', ""ye'"", 'tajkiil', 'derefente'}"
.SUF,"{'lamas', 'saber', 'lajori', ""xe'"", '-w'}"
